sku,units_per_case
3PWOMVERT,1
3PWOMVERT2,1
3PWS151617,1
3WOODBOX,1
4P2017RES,1
4P2018CA3H,1
4PBOOK17,1
4PRREVERT,1
5152090024,4
6P2016BDB,1
6P2018CNCH,1
6P2018RRCH,1
6P2020ROSE,1
6PVARPN17,1
99901127,12
99903127,12
99903127S,12
ALLOCATION,1
APRNEWS-DE,1
ARTMAP1,1
ARTTOURFEE,1
BDSTBK1BST,1
BDSTBK1BX,1
BDSTBOOK1,1
BIOCOAST,1
BIOMATCH,1
BKBDL24BST,1
BKBNDL24BX,1
BLKBTL,1
BLKLN1,1
BOOKBNDL24,1
BSWXCNDL,1
BULKOIL24,1
C-,1
CARNEROS,1
CARNEROSTS,1
CAVIARTRIO,1
CHEESBOARD,1
CHEESMEAT,1
CLUBOFFER,1
CLUBTASTE,1
COLLECT,1
CORAVIN,1
CRUDITEMOL,1
CULINARY,1
CULNRYSET,1
CULNRYST,1
CUTBOARD,1
DEPOSITGRP,1
DGOTL17PNO,1
DHCGFTSET,1
DHCGFTST,1
DHCKITBOX,1
DHCSMPLSET,1
DIGSIG,1
DISCGIFT,1
DISCOVER,1
DISCOVER1,1
DISCTSTNG,1
DNMBK1BST,1
DNMBK2BST,1
DNMBK2BX,1
DNMBOOKBX,1
DNMWTRBTL,1
DONUMBK2,1
DONUMBKSLP,1
DONUMBOOK,1
EVENT,1
EVENTSHARE,1
EXPGIFTC2P,1
EXPLORE,1
FEBNEWS-DE,1
FELTSOAP,1
FINALPYGRP,1
FLRLSALT,1
GENERAL,1
GFTCRD100,1
GFTCRD200,1
GFTCRD300,1
GFTCRD400,1
GFTCRD50,1
GIFTCERT,1
GRDNSALT,1
GREYTR10,1
GREYTR5,1
GROUP-TSTG,1
HNYGFTBX,1
HNYGFTSET,1
HNYGFTST,1
HONEY4,1
HONEY6,1
HONEYPOT,1
I-,1
ICEPACK,1
INCEDOHC,1
INSERT,1
INSERTMAG,1
JANNEWS-DE,1
LAVEYEPLW,1
LAVOIL,1
LAVSACHET,1
LAVSLTJR,1
LAVWATER,1
LAVWTRSM,1
LGDONUMSTK,1
LGFELTVASE,1
LGLAVBNDL,1
LUNCH,1
LVNDRBUNDL,1
LVNDRSCLLR,1
LVNDRSLT,1
LVT,1
LVT3161719,1
LVT4161719,1
LVT6141617,1
LVTEX18CHP,1
LVTR141617,1
LVTR17186P,1
MAYNEWCARN,1
MAYNEWS-DE,1
MEMBERONLY,1
MEMTASTE,1
MGNMGIFTBX,1
MISC,1
MWOODBOX,1
NCCLUBTSTG,1
NCDONUMTST,1
NCEXPLORE,1
NOVNEWS-DE,1
OCTNEWS-DE,1
OLIVEOIL,1
OLIVEOIL22,1
OLIVEOIL23,1
OLIVEOIL24,1
ORACLEBNDL,1
OSETRA,1
PC1218NEWS,1
PLMCHTNY,1
PLUMCHTNY,1
PNOCHR1917,1
PNOCRS17,1
PNOCSD1719,1
PNOCVIP17B,1
PRSSSMPSTK,1
PVTEVTFEE,1
RESCAVIAR,1
RESERVEFLT,1
ROHYBRID,1
ROOSSETRA,1
ROROYAL,1
ROSAMPLER,1
ROSEWTRSM,1
ROSIBERIAN,1
ROSUPREME,1
ROUNDPLMAT,1
RTVUPGRADE,1
SALT,1
SELFGUIDE,1
SERVICECHG,1
SHIP,1
SHIPPER2B,1
SHIPPER3B,1
SHIPPERMAG,1
SMDONUMSTK,1
SMFELTVASE,1
SMGRDNSALT,1
SMPLFLRSLT,1
SMPLHONEY,1
